customer_state,total_deliveries,avg_delivery_days,avg_estimated_days,avg_delay,delay_percentage
AL,397,24.54,32.58,-8.03,23.93
MA,717,21.57,30.46,-8.89,19.67
PI,476,19.46,30.09,-10.63,15.97
CE,1279,21.27,31.38,-10.11,15.32
SE,335,21.52,30.85,-9.33,15.22
BA,3256,19.34,29.43,-10.1,14.04
RJ,12353,15.31,26.37,-11.06,13.47
TO,274,17.66,29.1,-11.44,12.77
PA,946,23.77,37.16,-13.39,12.37
ES,1995,15.79,25.59,-9.8,12.23
RR,41,29.39,45.98,-16.59,12.2
MS,701,15.62,25.97,-10.36,11.55
PB,517,20.43,33.03,-12.6,11.03
PE,1593,18.45,31.06,-12.61,10.8
RN,474,19.28,32.24,-12.96,10.76
SC,3547,14.96,25.77,-10.81,9.75
GO,1957,15.61,27.09,-11.48,8.18
RS,5344,15.3,28.51,-13.21,7.15
DF,2080,12.97,24.31,-11.34,7.07
MT,886,18.06,31.74,-13.69,6.77
SP,40495,8.76,19.14,-10.38,5.89
MG,11355,12.01,24.55,-12.54,5.62
PR,4923,11.99,24.61,-12.62,5.0
AP,67,27.19,46.24,-19.06,4.48
AM,145,26.43,45.28,-18.85,4.14
AC,80,21.04,41.11,-20.08,3.75
RO,243,19.37,38.77,-19.4,2.88
